lat_center,lon_center,lat_bin,lon_bin,grid_id,geometry,union,landcover,elev,slope,total_pop,pop_cell,dist_to_coast_km,hazard_score,hazard_class
21.13388055,92.19592455357107,52,28,52_28,POINT (92.19592455357107 21.13388055),whykong,40,-32768.0,-32768.0,50863,469,0.29169046096065143,0.7741792869293805,1
21.14287355,92.08678059948971,53,15,53_15,POINT (92.08678059948971 21.14287355),palong khali,10,-32768.0,-32768.0,32843,4,0.6161596925690382,0.6187507364513006,2
21.14287355,92.0951762882652,53,16,53_16,POINT (92.0951762882652 21.14287355),whykong,10,-32768.0,-32768.0,50863,1212,1.4192785495812204,0.41334636731810026,2
21.14287355,92.10357197704069,53,17,53_17,POINT (92.10357197704069 21.14287355),whykong,10,-32768.0,-32768.0,50863,145,2.207327694234624,0.3117860397606281,3
21.14287355,92.11196766581618,53,18,53_18,POINT (92.11196766581618 21.14287355),whykong,10,-32768.0,-32768.0,50863,378,2.8688530312941407,0.2584745380378271,3
21.14287355,92.12036335459166,53,19,53_19,POINT (92.12036335459166 21.14287355),whykong,10,-32768.0,-32768.0,50863,156,3.5570263753934395,0.21944134565463494,4
21.14287355,92.12875904336715,53,20,53_20,POINT (92.12875904336715 21.14287355),whykong,10,-32768.0,-32768.0,50863,879,4.1942939066021285,0.19251894828842187,4
21.14287355,92.13715473214263,53,21,53_21,POINT (92.13715473214263 21.14287355),whykong,10,-32768.0,-32768.0,50863,175,4.691457152531448,0.1757019289085256,4
21.14287355,92.14555042091814,53,22,53_22,POINT (92.14555042091814 21.14287355),whykong,40,-32768.0,-32768.0,50863,69,3.8577498141554734,0.20585662873909272,4
21.14287355,92.15394610969362,53,23,53_23,POINT (92.15394610969362 21.14287355),palong khali,10,-32768.0,-32768.0,32843,863,3.0808525177885904,0.24504683657176093,4
21.14287355,92.16234179846911,53,24,53_24,POINT (92.16234179846911 21.14287355),palong khali,40,-32768.0,-32768.0,32843,6665,2.4162007444022158,0.2927228447094625,3
21.14287355,92.1707374872446,53,25,53_25,POINT (92.1707374872446 21.14287355),palong khali,40,-32768.0,-32768.0,32843,1201,1.9802411548307788,0.3355433161437505,3
21.14287355,92.17913317602007,53,26,53_26,POINT (92.17913317602007 21.14287355),palong khali,40,-32768.0,-32768.0,32843,1,1.7805078382336283,0.35964653156139614,3
21.14287355,92.18752886479558,53,27,53_27,POINT (92.18752886479558 21.14287355),whykong,40,-32768.0,-32768.0,50863,110,1.181984740676146,0.4582983470774059,2
21.14287355,92.19592455357107,53,28,53_28,POINT (92.19592455357107 21.14287355),whykong,40,-32768.0,-32768.0,50863,77,0.34474818915412947,0.743633646853258,1
21.15186655,92.06998922193873,54,13,54_13,POINT (92.06998922193873 21.15186655),jalia palong,30,-32768.0,-32768.0,47656,25,0.014753819858903748,0.9854606904944145,1
21.15186655,92.07838491071422,54,14,54_14,POINT (92.07838491071422 21.15186655),palong khali,10,-32768.0,-32768.0,32843,876,0.6702111192612608,0.5987267049463202,2
21.15186655,92.08678059948971,54,15,54_15,POINT (92.08678059948971 21.15186655),palong khali,10,-32768.0,-32768.0,32843,16,1.2745915737967803,0.4396393671373652,2
21.15186655,92.0951762882652,54,16,54_16,POINT (92.0951762882652 21.15186655),palong khali,10,-32768.0,-32768.0,32843,153,1.9418672032344,0.33992017005409425,3
21.15186655,92.10357197704069,54,17,54_17,POINT (92.10357197704069 21.15186655),whykong,10,-32768.0,-32768.0,50863,146,2.7298306277221602,0.26810868905613244,3
21.15186655,92.11196766581618,54,18,54_18,POINT (92.11196766581618 21.15186655),whykong,10,-32768.0,-32768.0,50863,5,3.5116678864354776,0.22164752042288904,4
21.15186655,92.12036335459166,54,19,54_19,POINT (92.12036335459166 21.15186655),whykong,10,-32768.0,-32768.0,50863,2817,4.231093314587011,0.19116462656314684,4
21.15186655,92.12875904336715,54,20,54_20,POINT (92.12875904336715 21.15186655),whykong,10,-32768.0,-32768.0,50863,958,4.918668241298394,0.16895692734090928,4
21.15186655,92.13715473214263,54,21,54_21,POINT (92.13715473214263 21.15186655),palong khali,10,-32768.0,-32768.0,32843,558,4.36856464132432,0.18626952766900456,4
